timestamp,strategy,active_tickers,child_orders,total_quantity,total_notional
2026-04-28 10:00:00-04:00,Adaptive,1,2,22852.523462686568,16258316.511902606
2026-04-28 10:00:00-04:00,POV,1,2,83854.0,59657519.88024902
2026-04-28 10:00:00-04:00,TWAP,1,2,22852.523462686568,16258316.511902606
2026-04-28 10:00:00-04:00,VWAP,1,2,12646.051993109619,8996972.096567843
2026-04-28 10:05:00-04:00,Adaptive,1,2,17139.392597014925,12205475.73380068
2026-04-28 10:05:00-04:00,POV,1,2,91872.8,65425377.51259766
2026-04-28 10:05:00-04:00,TWAP,1,2,22852.523462686568,16273967.645067573
2026-04-28 10:05:00-04:00,VWAP,1,2,41832.18688084246,29789955.44771307
2026-04-28 10:10:00-04:00,Adaptive,1,2,23026.016357516666,16386234.617958322
2026-04-28 10:10:00-04:00,POV,1,2,62145.600000000006,44225295.694335945
2026-04-28 10:10:00-04:00,TWAP,1,2,22852.523462686568,16262770.13174003
2026-04-28 10:10:00-04:00,VWAP,1,2,11532.885126334384,8207262.540243348
2026-04-28 10:15:00-04:00,Adaptive,1,2,23022.07463516348,16376982.675232472
2026-04-28 10:15:00-04:00,POV,1,2,56081.4,39894063.88249512
2026-04-28 10:15:00-04:00,TWAP,1,2,22852.523462686568,16256370.755662955
2026-04-28 10:15:00-04:00,VWAP,1,2,12013.542583418468,8545953.476160934
2026-04-28 10:20:00-04:00,Adaptive,1,2,23018.212444912886,16374926.488367423
2026-04-28 10:20:00-04:00,POV,1,2,53426.0,38006722.92260742
2026-04-28 10:20:00-04:00,TWAP,1,2,22852.523462686568,16257057.00087436
2026-04-28 10:20:00-04:00,VWAP,1,2,52125.75850272249,37081744.10481267
2026-04-28 10:25:00-04:00,Adaptive,1,2,23014.428267614316,16369012.105340682
2026-04-28 10:25:00-04:00,POV,1,2,83413.40000000001,59327780.75000001
2026-04-28 10:25:00-04:00,TWAP,1,2,22852.523462686568,16253857.312835822
2026-04-28 10:25:00-04:00,VWAP,1,2,10467.925703820343,7445312.156842219
2026-04-28 10:30:00-04:00,Adaptive,1,2,17258.040459136646,12268655.00926905
2026-04-28 10:30:00-04:00,POV,1,2,69970.40000000001,49741608.87460938
2026-04-28 10:30:00-04:00,TWAP,1,2,22852.523462686568,16245745.113344917
2026-04-28 10:30:00-04:00,VWAP,1,2,11681.409158705243,8304255.592030286
2026-04-28 10:35:00-04:00,Adaptive,1,2,17392.34913797677,12350115.62020491
2026-04-28 10:35:00-04:00,POV,1,2,185769.80000000002,131913089.51662599
2026-04-28 10:35:00-04:00,TWAP,1,2,22852.523462686568,16227325.287609551
2026-04-28 10:35:00-04:00,VWAP,1,2,14115.116728503692,10022988.970999228
2026-04-28 10:40:00-04:00,Adaptive,1,2,17526.360657546164,12451778.577860946
2026-04-28 10:40:00-04:00,POV,1,2,106612.8,75744132.23056641
2026-04-28 10:40:00-04:00,TWAP,1,2,22852.523462686568,16235804.321430942
2026-04-28 10:40:00-04:00,VWAP,1,2,59614.48710237505,42353709.816642016
2026-04-28 10:45:00-04:00,Adaptive,1,2,17660.107528093253,12540266.228894204
2026-04-28 10:45:00-04:00,POV,1,2,109861.20000000001,78011342.45837404
2026-04-28 10:45:00-04:00,TWAP,1,2,22852.523462686568,16227348.999334335
2026-04-28 10:45:00-04:00,VWAP,1,2,9521.918224861583,6761419.168007539
2026-04-28 10:50:00-04:00,Adaptive,1,2,17793.624537481333,12627246.08743829
2026-04-28 10:50:00-04:00,POV,1,2,119165.8,84566012.87932129
2026-04-28 10:50:00-04:00,TWAP,1,2,22852.523462686568,16217293.833218459
2026-04-28 10:50:00-04:00,VWAP,1,2,12514.96586362562,8881245.830663081
2026-04-28 10:55:00-04:00,Adaptive,1,2,15237.90657216825,10826837.675272347
2026-04-28 10:55:00-04:00,POV,1,2,116394.8,82700835.56933594
2026-04-28 10:55:00-04:00,TWAP,1,2,22852.523462686568,16237175.41704641
2026-04-28 10:55:00-04:00,VWAP,1,2,11403.06131142274,8102103.345708126
2026-04-28 11:00:00-04:00,Adaptive,1,2,20545.868983703385,14599996.827878041
2026-04-28 11:00:00-04:00,POV,1,2,75602.40000000001,53723441.97539063
2026-04-28 11:00:00-04:00,TWAP,1,2,22852.523462686568,16239116.98886404
2026-04-28 11:00:00-04:00,VWAP,1,2,13614.721261742803,9674688.73628822
2026-04-28 11:05:00-04:00,Adaptive,1,2,12738.903868499301,9045831.569291936
2026-04-28 11:05:00-04:00,POV,1,2,56364.0,40023792.92871094
2026-04-28 11:05:00-04:00,TWAP,1,2,22852.523462686568,16227461.978728894
2026-04-28 11:05:00-04:00,VWAP,1,2,9313.746086907762,6613644.254719112
2026-04-28 11:10:00-04:00,Adaptive,1,2,17243.036079756283,12254453.353619248
2026-04-28 11:10:00-04:00,POV,1,2,38436.0,27316080.93383789
2026-04-28 11:10:00-04:00,TWAP,1,2,22852.523462686568,16241059.95548901
2026-04-28 11:10:00-04:00,VWAP,1,2,9117.104419217618,6479434.961952324
2026-04-28 11:15:00-04:00,Adaptive,1,2,17396.109431994795,12362371.461578604
2026-04-28 11:15:00-04:00,POV,1,2,45436.8,32289208.217578128
2026-04-28 11:15:00-04:00,TWAP,1,2,22852.523462686568,16239917.608277343
2026-04-28 11:15:00-04:00,VWAP,1,2,45436.8,32289208.217578128
2026-04-28 11:20:00-04:00,Adaptive,1,2,14917.141930904263,10594900.056424754
2026-04-28 11:20:00-04:00,POV,1,2,53439.8,37955617.95
2026-04-28 11:20:00-04:00,TWAP,1,2,22852.523462686568,16231004.789373135
2026-04-28 11:20:00-04:00,VWAP,1,2,15789.3050553764,11214353.915581089
2026-04-28 11:25:00-04:00,Adaptive,1,2,15105.524741115594,10723412.382505186
2026-04-28 11:25:00-04:00,POV,1,2,47342.600000000006,33608512.8958252
2026-04-28 11:25:00-04:00,TWAP,1,2,22852.523462686568,16223006.96408413
2026-04-28 11:25:00-04:00,VWAP,1,2,12583.443426783353,8932986.795886477
2026-04-28 11:30:00-04:00,Adaptive,1,2,15295.523906899653,10855080.398830201
2026-04-28 11:30:00-04:00,POV,1,2,75929.47199999979,53886387.16905454
2026-04-28 11:30:00-04:00,TWAP,1,2,22852.523462686568,16218207.432026323
2026-04-28 11:30:00-04:00,VWAP,1,2,87478.0,62082262.033569336
2026-04-28 11:35:00-04:00,Adaptive,1,2,18220.279384983933,12934394.399504868
2026-04-28 11:35:00-04:00,TWAP,1,2,22852.523462686568,16222778.21568033
2026-04-28 11:35:00-04:00,VWAP,1,2,53601.200000000004,38050956.653173834
2026-04-28 11:40:00-04:00,Adaptive,1,2,18373.815376754672,13041917.847716287
2026-04-28 11:40:00-04:00,TWAP,1,2,22852.523462686568,16220949.623257259
2026-04-28 11:40:00-04:00,VWAP,1,2,9295.559935825402,6598081.37535399
2026-04-28 11:45:00-04:00,Adaptive,1,2,18528.118097948733,13146994.632732306
2026-04-28 11:45:00-04:00,TWAP,1,2,22852.523462686568,16215462.451180708
2026-04-28 11:45:00-04:00,VWAP,1,2,63074.8,44755978.59841309
2026-04-28 11:50:00-04:00,Adaptive,1,2,18683.282200416907,13262327.413831122
2026-04-28 11:50:00-04:00,TWAP,1,2,22852.523462686568,16221863.222065125
2026-04-28 11:50:00-04:00,VWAP,1,2,17466.250352183968,12398417.386075662
2026-04-28 11:55:00-04:00,Adaptive,1,2,18839.410174250494,13375604.067557136
2026-04-28 11:55:00-04:00,TWAP,1,2,22852.523462686568,16224834.161699861
2026-04-28 11:55:00-04:00,VWAP,1,2,10783.399380751996,7655997.681733034
2026-04-28 12:00:00-04:00,Adaptive,1,2,37993.226263187855,26981266.223817084
2026-04-28 12:00:00-04:00,TWAP,1,2,22852.523462686568,16228946.053738924
2026-04-28 12:00:00-04:00,VWAP,1,2,49146.4,34901803.10449219
2026-04-28 12:05:00-04:00,Adaptive,1,2,37195.4992831462,26419590.368541993
2026-04-28 12:05:00-04:00,TWAP,1,2,22852.523462686568,16231918.388181
2026-04-28 12:05:00-04:00,VWAP,1,2,22176.65874831718,15751858.45506211
2026-04-28 12:10:00-04:00,Adaptive,1,2,43717.429540638106,31058173.14835951
2026-04-28 12:10:00-04:00,TWAP,1,2,22852.523462686568,16235118.076219538
2026-04-28 12:10:00-04:00,VWAP,1,2,14705.546980463652,10447261.63362415
2026-04-28 12:15:00-04:00,Adaptive,1,2,23694.2,16830820.07762451
2026-04-28 12:15:00-04:00,TWAP,1,2,22852.523462686568,16232947.755998105
2026-04-28 12:15:00-04:00,VWAP,1,2,16047.193042745797,11398883.222618293
2026-04-28 12:20:00-04:00,Adaptive,1,2,25900.0,18401950.0
2026-04-28 12:20:00-04:00,TWAP,1,2,22852.523462686568,16236717.920238806
2026-04-28 12:20:00-04:00,VWAP,1,2,15639.133010822698,11111604.004189527
2026-04-28 12:25:00-04:00,Adaptive,1,2,24338.800000000003,17288336.594262697
2026-04-28 12:25:00-04:00,TWAP,1,2,22852.523462686568,16232604.633392403
2026-04-28 12:25:00-04:00,VWAP,1,2,15350.64670166641,10903871.477559179
2026-04-28 12:30:00-04:00,Adaptive,1,2,17554.44054817855,12460495.261356706
2026-04-28 12:30:00-04:00,TWAP,1,2,22852.523462686568,16221181.16127574
2026-04-28 12:30:00-04:00,VWAP,1,2,12069.225454068139,8566979.173498416
2026-04-28 12:35:00-04:00,Adaptive,1,2,17748.35759197674,12596185.090032814
2026-04-28 12:35:00-04:00,TWAP,1,2,22852.523462686568,16218662.139219247
2026-04-28 12:35:00-04:00,VWAP,1,2,9887.47669311009,7017240.094153918
2026-04-28 12:40:00-04:00,Adaptive,1,2,17944.705388080343,12732307.339728437
2026-04-28 12:40:00-04:00,TWAP,1,2,22852.523462686568,16214551.641987523
2026-04-28 12:40:00-04:00,VWAP,1,2,8450.2553313272,5995709.912802663
