signal,horizon,target,n_obs,information_coefficient,hit_rate,decile_spread
ofi_proxy,1,fwd_return_1,384,0.03237972306736525,0.5131578947368421,0.00017566743435333152
ofi_proxy,3,fwd_return_3,382,0.0016677675101595647,0.5197889182058048,0.00016010855842175112
ofi_proxy,6,fwd_return_6,379,-0.03898733116505399,0.5224274406332454,-6.425114469901062e-05
ofi_proxy,12,fwd_return_12,373,-0.008737709094900242,0.49865951742627346,-0.0002254771033041521
momentum_3,1,fwd_return_1,385,-0.03092425130341445,0.5317460317460317,-5.312164351387821e-05
momentum_3,3,fwd_return_3,383,0.053453985920314064,0.5384615384615384,4.5236104661797524e-05
momentum_3,6,fwd_return_6,380,0.026094117204875495,0.4827586206896552,9.671651933070672e-05
momentum_3,12,fwd_return_12,374,-0.05653419400625054,0.4797843665768194,-0.00041928148166599016
reversal_3,1,fwd_return_1,385,0.03092425130341445,0.46825396825396826,5.312164351387821e-05
reversal_3,3,fwd_return_3,383,-0.053453985920314064,0.46153846153846156,-4.5236104661797524e-05
reversal_3,6,fwd_return_6,380,-0.026094117204875495,0.5172413793103449,-9.671651933070672e-05
reversal_3,12,fwd_return_12,374,0.05653419400625054,0.5202156334231806,0.00041928148166599016
volume_zscore,1,fwd_return_1,369,0.041916135103949786,0.5232876712328767,8.50855487950707e-05
volume_zscore,3,fwd_return_3,367,0.049724051698036904,0.48626373626373626,0.00018240535775425524
volume_zscore,6,fwd_return_6,364,0.06642610937719479,0.4945054945054945,4.320244393334996e-06
volume_zscore,12,fwd_return_12,358,0.12699113427921574,0.5,0.0006350535840616844
rolling_vol,1,fwd_return_1,376,0.04226553942330295,0.521505376344086,7.507622655321912e-05
rolling_vol,3,fwd_return_3,374,0.06338252439901648,0.5714285714285714,0.0003244653525545284
rolling_vol,6,fwd_return_6,371,0.08393346830654946,0.5714285714285714,0.000855379425556494
rolling_vol,12,fwd_return_12,365,0.013689563257225569,0.5835616438356165,0.0013349928412747468
spread_proxy,1,fwd_return_1,388,0.03919800593457835,0.515625,2.005164902322362e-05
spread_proxy,3,fwd_return_3,386,0.04727208938391005,0.5613577023498695,0.00013850889290688533
spread_proxy,6,fwd_return_6,383,0.041828150254424386,0.556135770234987,0.0001747134014802651
spread_proxy,12,fwd_return_12,377,0.07541710478885941,0.5649867374005305,0.0004917462091099083
liquidity_score,1,fwd_return_1,376,-0.04355042994397269,0.4838709677419355,-0.0001521738926185357
liquidity_score,3,fwd_return_3,374,-0.07487873881892287,0.4501347708894879,-0.00020335337958819682
liquidity_score,6,fwd_return_6,371,-0.10252883133115062,0.4366576819407008,-0.000768040007696872
liquidity_score,12,fwd_return_12,365,-0.03308147955314224,0.42191780821917807,-0.00017190684468026051
alpha_signal,1,fwd_return_1,369,0.024180842276385266,0.5013698630136987,-7.44617926424713e-06
alpha_signal,3,fwd_return_3,367,0.00546649301548908,0.5357142857142857,2.5018880941826766e-05
alpha_signal,6,fwd_return_6,364,-0.04632231799982132,0.5027472527472527,4.08288561877786e-05
alpha_signal,12,fwd_return_12,358,-0.021871835442998144,0.441340782122905,0.0005061251102694594
